label,review,review_,senti_words,sum,sum_senti_words
0,"whatever the movie 's sentimental , hypocritical lessons about sexism , its true colors come out in various wet t shirt and shower scenes","whatever the movie 's sentimental , hypocritical lesson about sexism , it true color come out in various wet t shirt and shower scene",hate sentimental hypocritical critical true,24,5
1,"if director michael dowse only superficially understands his characters , he does n't hold them in contempt","if director michael dowse only superficially understand his character , he doe n't hold them in contempt",dire superficially understand old contempt,17,5
1,"not only is it a charming , funny and beautifully crafted import , it uses very little dialogue , making it relatively effortless to read and follow the action at the same time","not only be it a charm , funny and beautifully craft import , it us very little dialogue , make it relatively effortless to read and follow the action at the same time",funny beautifully relatively effortless low,33,5
0,sayles once again strands his superb performers in the same old story,sayles once again strand his superb performer in the same old story,superb old,12,2
1,what could have been a daytime soap opera is actually a compelling look at a young woman 's tragic odyssey,what could have be a daytime soap opera be actually a compel look at a young woman 's tragic odyssey,actually tragic,20,2
1,when it really counts bloody sunday connects on a visceral level that transcends language,when it really count bloody sunday connect on a visceral level that transcend language,really bloody level,14,3
0,rarely has sex on screen been so aggressively anti erotic,rarely ha sex on screen be so aggressively anti erotic,rarely so aggressively erotic,10,4
1,an inspiring and heart affecting film about the desperate attempts of vietnamese refugees living in u s relocation camps to keep their hopes alive in 1975,an inspire and heart affect film about the desperate attempt of vietnamese refugee live in u s relocation camp to keep their hope alive in 1975,desperate attempt keep hope,26,4
1,"while undercover brother is definitely one for the masses , it 's also full of sharp , smart satire","while undercover brother be definitely one for the mass , it 's also full of sharp , smart satire",undercover definitely sharp smart satire,19,5
1,undoubtedly the scariest movie ever made about tattoos,undoubtedly the scariest movie ever make about tattoo,undoubtedly doubt,8,2
1,"as the story moves inexorably through its seven day timeframe , the picture becomes increasingly mesmerizing","a the story move inexorably through it seven day timeframe , the picture become increasingly mesmerize",ably rough even,16,3
0,"this film was made to get laughs from the slowest person in the audience just pure slapstick with lots of inane , inoffensive screaming and exaggerated facial expressions","this film wa make to get laugh from the slowest person in the audience just pure slapstick with lot of inane , inoffensive scream and exaggerate facial expression",slow low just pure inane inoffensive offensive,28,7
0,a by the numbers effort that wo n't do much to enhance the franchise,a by the number effort that wo n't do much to enhance the franchise,franchise,14,1
0,"to enjoy this movie 's sharp dialogue and delightful performance by jolie and burns , you have to gloss over the no sense ending","to enjoy this movie 's sharp dialogue and delightful performance by jolie and burn , you have to gloss over the no sense end",sharp delightful light,24,3
1,"very amusing , not the usual route in a thriller , and the performances are odd and pixilated and sometimes both","very amuse , not the usual route in a thriller , and the performance be odd and pixilated and sometimes both",ill odd,21,2
0,a minor picture with a major identity crisis it 's sort of true and it 's sort of bogus and it 's ho hum all the way through,a minor picture with a major identity crisis it 's sort of true and it 's sort of bogus and it 's ho hum all the way through,minor major true bogus rough,28,5
0,"the actors are appealing , but elysian fields is idiotic and absurdly sentimental","the actor be appeal , but elysian field be idiotic and absurdly sentimental",idiotic absurdly sentimental,13,3
1,"believes so fervently in humanity that it feels almost anachronistic , and it is too cute by half but arriving at a particularly dark moment in history , it offers flickering reminders of the ties that bind us","belief so fervently in humanity that it feel almost anachronistic , and it be too cute by half but arrive at a particularly dark moment in history , it offer flicker reminder of the tie that bind u",so fervently too cute particularly dark mind,38,7
0,"the whole damn thing is ripe for the jerry springer crowd it 's all pretty cynical and condescending , too","the whole damn thing be ripe for the jerry springer crowd it 's all pretty cynical and condescend , too",whole damn thin ripe pretty cynical,20,6
1,this harrowing journey into combat hell vividly captures the chaotic insanity and personal tragedies that are all too abundant when human hatred spews forth unchecked,this harrow journey into combat hell vividly capture the chaotic insanity and personal tragedy that be all too abundant when human hatred spew forth unchecked,vividly idly apt chaotic too abundant unchecked,25,7
1,"macdowell gives give a solid , anguished performance that eclipses nearly everything else she 's ever done","macdowell give give a solid , anguish performance that eclipse nearly everything else she 's ever do",well solid thin,17,3
1,"there is a beautiful , aching sadness to it all paul cox needed to show it it is up to you to decide if you need to see it","there be a beautiful , ache sadness to it all paul cox need to show it it be up to you to decide if you need to see it",beautiful ache sad need,29,4
1,"intriguing and beautiful film , but those of you who read the book are likely to be disappointed","intrigue and beautiful film , but those of you who read the book be likely to be disappoint",beautiful boo like,18,3
0,"a misogynistic piece of filth that attempts to pass itself off as hip , young adult entertainment","a misogynistic piece of filth that attempt to pas itself off a hip , young adult entertainment",attempt,17,1
1,"birthday girl is an amusing joy ride , with some surprisingly violent moments","birthday girl be an amuse joy ride , with some surprisingly violent moment",some surprising violent,13,3
0,the plot convolutions ultimately add up to nothing more than jerking the audience 's chain,the plot convolution ultimately add up to nothing more than jerk the audience 's chain,thin,15,1
0,"will give many ministers and bible study groups hours of material to discuss but mainstream audiences will find little of interest in this film , which is often preachy and poorly acted","will give many minister and bible study group hour of material to discus but mainstream audience will find little of interest in this film , which be often preachy and poorly act",ill main poor,32,3
1,"mostly martha is a bright , light modern day family parable that wears its heart on its sleeve for all to see","mostly martha be a bright , light modern day family parable that wear it heart on it sleeve for all to see",bright right light modern able,22,5
1,morvern rocks,morvern rock,,2,0
0,gere gives a good performance in a film that does n't merit it,gere give a good performance in a film that doe n't merit it,good,13,1
1,a n utterly charming and hilarious film that reminded me of the best of the disney comedies from the 60s,a n utterly charm and hilarious film that remind me of the best of the disney comedy from the 60,utter hilarious mind best,20,4
1,"funny , sexy , devastating and incurably romantic","funny , sexy , devastate and incurably romantic",funny sexy vast ably,8,4
0,a prison comedy that never really busts out of its comfy little cell,a prison comedy that never really bust out of it comfy little cell,really,13,1
0,"involving at times , but lapses quite casually into the absurd","involve at time , but lapse quite casually into the absurd",quite casually absurd,11,3
0,"scotland , pa is a strangely drab romp some studio pizazz might have helped","scotland , pa be a strangely drab romp some studio pizazz might have help",strangely drab,14,2
1,"lead actress ga , she of the impossibly long limbs and sweetly conspiratorial smile , is a towering siren","lead actress ga , she of the impossibly long limb and sweetly conspiratorial smile , be a tower siren",long sweetly,19,2
0,"the overall vibe is druggy and self indulgent , like a spring break orgy for pretentious arts majors","the overall vibe be druggy and self indulgent , like a spring break orgy for pretentious art major",like pretentious major,18,3
0,the big ending surprise almost saves the movie it 's too bad that the rest is n't more compelling,the big end surprise almost save the movie it 's too bad that the rest be n't more compel,big surprise too bad bad,19,5
1,the slam bang superheroics are kinetic enough to engross even the most antsy youngsters,the slam bang superheroics be kinetic enough to engross even the most antsy youngster,super heroic even,14,3
1,"the 3 d vistas from orbit , with the space station suspended like a huge set of wind chimes over the great blue globe , are stanzas of breathtaking , awe inspiring visual poetry","the 3 d vista from orbit , with the space station suspend like a huge set of wind chime over the great blue globe , be stanza of breathtaking , awe inspire visual poetry",ace like huge set great blue breathtaking,34,7
0,the film lapses too often into sugary sentiment and withholds delivery on the pell mell pyrotechnics its punchy style promises,the film lapse too often into sugary sentiment and withhold delivery on the pell mell pyrotechnic it punchy style promise,old,20,1
1,"ok arthouse the power of this script , and the performances that come with it , is that the whole damned thing did n't get our moral hackles up","ok arthouse the power of this script , and the performance that come with it , be that the whole damn thing do n't get our moral hackle up",whole damn thin,29,3
1,"could have been crisper and punchier , but it 's likely to please audiences who like movies that demand four hankies","could have be crisper and punchier , but it 's likely to please audience who like movie that demand four hanky",crisp like demand,21,3
1,"it may scream low budget , but this charmer has a spirit that cannot be denied","it may scream low budget , but this charmer ha a spirit that cannot be deny",low,16,1
1,"it was filled with shootings , beatings , and more cussing than you could shake a stick at","it wa fill with shoot , beat , and more cuss than you could shake a stick at",ill,18,1
0,liotta is put in an impossible spot because his character 's deceptions ultimately undo him and the believability of the entire scenario too bad,liotta be put in an impossible spot because his character 's deception ultimately undo him and the believability of the entire scenario too bad,too bad bad,24,3
1,"a beguiling , slow moving parable about the collision of past and present on a remote seacoast in iran","a beguile , slow move parable about the collision of past and present on a remote seacoast in iran",guile slow low able resent,19,5
0,obvious politics and rudimentary animation reduce the chances that the appeal of hey arnold ! the movie will reach far beyond its core demographic,obvious politics and rudimentary animation reduce the chance that the appeal of hey arnold ! the movie will reach far beyond it core demographic,obvious politic rudimentary dim old ill,24,6
0,"a shame that stealing harvard is too busy getting in its own way to be anything but frustrating , boring , and forgettable","a shame that steal harvard be too busy get in it own way to be anything but frustrate , bore , and forgettable",sham too busy thin able,23,5
1,"now as a former gong show addict , i 'll admit it , my only complaint is that we did n't get more re creations of all those famous moments from the show","now a a former gong show addict , i 'll admit it , my only complaint be that we do n't get more re creation of all those famous moment from the show",complaint plain famous,33,3
1,"sound the trumpets for the first time since desperately seeking susan , madonna does n't suck as an actress","sound the trumpet for the first time since desperately seek susan , madonna doe n't suck a an actress",sound first desperately,19,3
0,"super troopers is an odd amalgam of comedy genres , existing somewhere between the often literal riffs of early zucker brothers abrahams films , and the decidedly foul stylings of their post modern contemporaries , the farrelly brothers","super trooper be an odd amalgam of comedy genre , exist somewhere between the often literal riff of early zucker brother abraham film , and the decidedly foul style of their post modern contemporary , the farrelly brother",super odd literal foul modern,38,5
0,return to neverland manages to straddle the line between another classic for the company and just another run of the mill disney sequel intended for the home video market,return to neverland manage to straddle the line between another classic for the company and just another run of the mill disney sequel intend for the home video market,just ill,29,2
1,"while not quite shrek or monsters , inc , it 's not too bad it 's worth taking the kids to","while not quite shrek or monster , inc , it 's not too bad it 's worth take the kid to",not too too bad bad,21,5
0,it 's a barely tolerable slog over well trod ground,it 's a barely tolerable slog over well tread grind,barely able over well,10,4
1,kaufman and jonze take huge risks to ponder the whole notion of passion our desire as human beings for passion in our lives and the emptiness one feels when it is missing,kaufman and jonze take huge risk to ponder the whole notion of passion our desire a human be for passion in our life and the emptiness one feel when it be miss,huge whole pass desire miss,32,5
1,mark pellington 's latest pop thriller is as kooky and overeager as it is spooky and subtly in love with myth,mark pellington 's latest pop thriller be a kooky and overeager a it be spooky and subtly in love with myth,ill eager love,21,3
1,"see scratch for the history , see scratch for the music , see scratch for a lesson in scratching , but , most of all , see it for the passion","see scratch for the history , see scratch for the music , see scratch for a lesson in scratch , but , most of all , see it for the passion",pass,31,1
0,"there 's no question that epps scores once or twice , but it 's telling that his funniest moment comes when he falls about ten feet onto his head","there 's no question that epps score once or twice , but it 's tell that his funniest moment come when he fall about ten foot onto his head",question,29,1
0,it 's just plain boring,it 's just plain bore,just plain,5,2
1,"when you think you 've figured out bielinsky 's great game , that 's when you 're in the most trouble he 's the con , and you 're just the mark","when you think you 've figure out bielinsky 's great game , that 's when you 're in the most trouble he 's the con , and you 're just the mark",thin great just,32,3
0,"like life on the island , the movie grows boring despite the scenery","like life on the island , the movie grow bore despite the scenery",like,13,1
1,"ms fulford wierzbicki is almost spooky in her sulky , calculating lolita turn","m fulford wierzbicki be almost spooky in her sulky , calculate lolita turn",,13,0
1,"just what makes us happy , anyway \?","just what make u happy , anyway \?",just happy,8,2
1,"the film 's constant mood of melancholy and its unhurried narrative are masterfully controlled but in trying to capture the novel 's deeper intimate resonances , the film has ironically distanced us from the characters","the film 's constant mood of melancholy and it unhurried narrative be masterfully control but in try to capture the novel 's deeper intimate resonance , the film ha ironically distance u from the character",constant melancholy holy hurried masterful apt novel deep,35,8
1,it 's a day at the beach with air conditioning and popcorn,it 's a day at the beach with air condition and popcorn,,12,0
0,"muddled , trashy and incompetent","muddle , trashy and incompetent",rash shy incompetent competent,5,4
1,its engaging simplicity is driven by appealing leads,it engage simplicity be drive by appeal lead,simplicity implicit licit,8,3
0,"while glover , the irrepressible eccentric of river 's edge , dead man and back to the future , is perfect casting for the role , he represents bartleby 's main overall flaw","while glover , the irrepressible eccentric of river 's edge , dead man and back to the future , be perfect cast for the role , he represent bartleby 's main overall flaw",love eccentric back perfect resent main,33,6
1,"a work of extraordinary journalism , but it is also a work of deft and subtle poetry","a work of extraordinary journalism , but it be also a work of deft and subtle poetry",extraordinary deft,17,2
1,"a solid , spooky entertainment worthy of the price of a ticket","a solid , spooky entertainment worthy of the price of a ticket",solid worthy,12,2
0,"this little film is so slovenly done , so primitive in technique , that it ca n't really be called animation","this little film be so slovenly do , so primitive in technique , that it ca n't really be call animation",so slovenly love primitive really,21,5
1,the mothman prophecies is best when illustrating the demons bedevilling the modern masculine journey,the mothman prophecy be best when illustrate the demon bedevil the modern masculine journey,prop best ill evil modern,14,5
1,"against all odds in heaven and hell , it creeped me out just fine","against all odds in heaven and hell , it creep me out just fine",odd just fine,14,3
0,gaping plot holes sink this 'sub' standard thriller and drag audience enthusiasm to crush depth,gap plot hole sink this 'sub' standard thriller and drag audience enthusiasm to crush depth,standard ill,15,2
0,to say that this vapid vehicle is downright doltish and uneventful is just as obvious as telling a country skunk that he has severe body odor,to say that this vapid vehicle be downright doltish and uneventful be just a obvious a tell a country skunk that he ha severe body odor,vapid downright right uneven eventful just obvious severe,26,8
1,"this is a stunning film , a one of a kind tour de force","this be a stun film , a one of a kind tour de force",stun kind,14,2
0,"a clash between the artificial structure of the story and the more contemporary , naturalistic tone of the film","a clash between the artificial structure of the story and the more contemporary , naturalistic tone of the film",artificial natural,19,2
1,"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales","the act , costume , music , cinematography and sound be all astound give the production 's austere locale",sound austere,19,2
1,"this cheery , down to earth film is warm with the cozy feeling of relaxing around old friends","this cheery , down to earth film be warm with the cozy feel of relax around old friend",cheer warm cozy lax round old,18,6
1,"birthday girl does n't try to surprise us with plot twists , but rather seems to enjoy its own transparency","birthday girl doe n't try to surprise u with plot twist , but rather seem to enjoy it own transparency",surprise spare,20,2
1,"beating the austin powers films at their own game , this blaxploitation spoof downplays the raunch in favor of gags that rely on the strength of their own cleverness as opposed to the extent of their outrageousness","beat the austin power film at their own game , this blaxploitation spoof downplay the raunch in favor of gag that rely on the strength of their own cleverness a oppose to the extent of their outrageousness",lax favor cleverness outrageous,37,4
1,"lovely and amazing is holofcener 's deep , uncompromising curtsy to women she knows , and very likely is when all is said and done , she loves them to pieces and so , i trust , will you","lovely and amaze be holofcener 's deep , uncompromising curtsy to woman she know , and very likely be when all be say and do , she love them to piece and so , i trust , will you",lovely amaze deep uncompromising promising curt very like ill,39,9
0,it offers little beyond the momentary joys of pretty and weightless intellectual entertainment,it offer little beyond the momentary joy of pretty and weightless intellectual entertainment,pretty,13,1
0,"the movie is like a year late for tapping into our reality tv obsession , and even tardier for exploiting the novelty of the webcast","the movie be like a year late for tap into our reality tv obsession , and even tardier for exploit the novelty of the webcast",like real obsession even novel,25,5
0,"it sticks rigidly to the paradigm , rarely permitting its characters more than two obvious dimensions and repeatedly placing them in contrived , well worn situations","it stick rigidly to the paradigm , rarely permit it character more than two obvious dimension and repeatedly place them in contrive , well wear situation",rigidly idly rarely permit obvious dim ace well,26,8
1,"cho 's face is an amazing slapstick instrument , creating a scrapbook of living mug shots","cho 's face be an amaze slapstick instrument , create a scrapbook of live mug shoot",ace amaze boo,16,3
1,a portrait of an artist,a portrait of an artist,,5,0
1,"i like it there is a freedom to watching stunts that are this crude , this fast paced and this insane","i like it there be a freedom to watch stunt that be this crude , this fast pace and this insane",like free stun crude rude ace sane,21,7
0,"much of the digitally altered footage appears jagged , as if filmed directly from a television monitor , while the extensive use of stock footage quickly becomes a tiresome clich","much of the digitally alter footage appear jag , a if film directly from a television monitor , while the extensive use of stock footage quickly become a tiresome clich",dire extensive quickly tiresome,30,4
1,spend your benjamins on a matinee,spend your benjamin on a matinee,your,6,1
0,"a movie that , quite simply , should n't have been made","a movie that , quite simply , should n't have be make",quite simply,12,2
0,"but the power of these subjects is obscured by the majority of the film that shows a stationary camera on a subject that could be mistaken for giving a public oration , rather than contributing to a film 's narrative","but the power of these subject be obscure by the majority of the film that show a stationary camera on a subject that could be mistake for give a public oration , rather than contribute to a film 's narrative",obscure major,40,2
0,"we hate madonna within the film 's first five minutes , and she lacks the skill or presence to regain any ground","we hate madonna within the film 's first five minute , and she lack the skill or presence to regain any grind",hate thin first minute ill,22,5
1,"leigh is one of the rare directors who feels acting is the heart and soul of cinema he allows his cast members to make creative contributions to the story and dialogue this method almost never fails him , and it works superbly here","leigh be one of the rare director who feel act be the heart and soul of cinema he allow his cast member to make creative contribution to the story and dialogue this method almost never fail him , and it work superbly here",rare dire heart and soul allow low creative superbly,43,9
0,burns' fifth beer soaked film feels in almost every possible way from the writing and direction to the soggy performances tossed off,burns' fifth beer soak film feel in almost every possible way from the write and direction to the soggy performance toss off,dire,22,1
1,a thoughtful look at a painful incident that made headlines in 1995,a thoughtful look at a painful incident that make headline in 1995,thoughtful painful,12,2
1,"a new film from bill plympton , the animation master , is always welcome","a new film from bill plympton , the animation master , be always welcome",new ill welcome,14,3
